"m_auteur_fk","m_conversation_fk","COUNT( DISTINCT `m_id` )"
"34","4","2"
"34","5","2"
"34","6","3"
"34","7","1"
"34","9","3"
"34","11","1"
"34","14","2"
"35","4","2"
"35","5","3"
"35","6","4"
"35","9","1"
"35","10","2"
"35","12","2"
"35","13","3"
"35","15","2"
"36","7","1"
"36","11","4"
"36","12","1"
"36","13","1"
"36","15","2"
"37","4","1"
"37","6","1"
"37","7","2"
"37","11","1"
"37","12","1"
"37","13","1"
"38","4","1"
"38","6","3"
"38","7","1"
"38","8","1"
"38","9","2"
"38","10","2"
"38","11","1"
"38","15","1"
"39","5","2"
"39","6","2"
"39","8","1"
"39","9","1"
"39","10","2"
"39","11","1"
"39","12","2"
"39","15","2"
"40","4","4"
"40","6","2"
"40","7","4"
"40","9","1"
"40","10","3"
"40","12","1"
"40","15","1"
"41","3","75"
"41","5","4"
"41","8","1"
"41","9","2"
"41","12","1"
"42","3","78"
"42","4","4"
"42","5","1"
"42","6","6"
"42","8","2"
"42","13","2"
"42","14","1"
"43","5","2"
"43","6","3"
"43","9","2"
"43","11","1"
"43","13","1"
"44","4","2"
"44","5","2"
"44","6","3"
"44","7","2"
"44","9","1"
"44","10","1"
"44","11","1"
"44","12","1"
"44","14","1"
"45","7","1"
"45","10","1"
"45","12","2"
"45","13","2"
"45","15","1"
"46","4","5"
"46","7","3"
"46","8","1"
"46","9","1"
"46","10","1"
"46","14","2"
"46","15","1"
"47","5","2"
"47","6","3"
"47","7","3"
"47","8","1"
"47","11","2"
"47","12","1"
"47","14","2"
"47","15","4"
"48","5","2"
"48","8","1"
"48","10","1"
"48","11","1"
"49","5","1"
"49","6","1"
"49","7","1"
"49","8","1"
"49","9","2"
"49","11","1"
"49","12","1"
"49","14","1"
"50","4","1"
"50","7","4"
"50","9","1"
"50","10","1"
"50","11","3"
"50","13","4"
"50","14","2"
"50","15","1"
"51","7","2"
"51","11","1"
"51","13","2"
"52","6","3"
"52","7","2"
"52","8","1"
"52","10","2"
"52","12","2"
"52","13","1"
"52","14","1"
"53","4","2"
"53","7","2"
"53","10","2"
"53","14","1"
"53","15","1"
"54","4","1"
"54","5","2"
"54","7","3"
"54","8","1"
"54","10","1"
"55","4","3"
"55","6","2"
"55","7","3"
"55","9","1"
"55","10","1"
"55","11","2"
"55","14","1"
"56","5","3"
"56","8","1"
"56","9","1"
"56","11","2"
"56","12","1"
"56","13","1"
"56","15","2"
"57","2","47"
"57","5","2"
"57","6","3"
"57","7","3"
"57","8","2"
"57","9","1"
"57","10","1"
"57","11","1"
"57","15","1"
"58","3","68"
"58","5","3"
"58","12","1"
"58","14","1"
"59","4","5"
"59","6","3"
"59","7","4"
"59","8","2"
"59","10","1"
"59","11","1"
"59","12","1"
"59","13","2"
"60","4","1"
"60","5","2"
"60","8","1"
"60","12","1"
"60","14","2"
"61","4","2"
"61","6","2"
"61","7","2"
"61","9","4"
"61","10","1"
"61","12","3"
"61","15","1"
"62","5","2"
"62","7","1"
"62","9","3"
"62","12","1"
"62","13","4"
"62","14","1"
"62","15","1"
"63","3","76"
"63","4","1"
"63","5","3"
"63","8","1"
"63","9","1"
"63","11","2"
"63","12","1"
"63","13","1"
"64","4","2"
"64","5","1"
"64","7","2"
"64","8","1"
"64","11","1"
"64","12","3"
"64","13","1"
"64","14","1"
"65","4","3"
"65","7","1"
"65","8","1"
"65","12","3"
"65","15","2"
"66","5","2"
"66","6","1"
"66","7","2"
"66","9","1"
"66","10","1"
"66","11","1"
"66","12","1"
"66","15","2"
"67","5","1"
"67","6","2"
"67","7","3"
"67","9","2"
"67","10","2"
"67","11","1"
"67","12","2"
"67","13","1"
"67","15","1"
"68","4","8"
"68","6","1"
"68","7","2"
"68","9","1"
"69","4","5"
"69","5","2"
"69","7","2"
"69","8","1"
"69","9","1"
"69","11","3"
"69","12","2"
"69","13","2"
"69","14","1"
"69","15","1"
"70","5","2"
"70","8","1"
"70","10","1"
"70","11","1"
"70","12","1"
"70","13","2"
"70","15","2"
"71","4","1"
"71","5","2"
"71","6","4"
"71","8","1"
"71","9","1"
"71","10","1"
"71","11","4"
"71","12","1"
"71","13","2"
"71","14","1"
"71","15","1"
"72","4","4"
"72","5","4"
"72","6","3"
"72","8","1"
"72","10","2"
"72","12","1"
"72","13","2"
"72","14","3"
"72","15","1"
"73","5","1"
"73","6","1"
"73","7","2"
"73","9","2"
"73","11","1"
"74","4","3"
"74","5","2"
"74","6","2"
"74","12","1"
"74","13","1"
"75","4","2"
"75","5","4"
"75","6","4"
"75","7","2"
"75","9","2"
"75","10","1"
"75","13","3"
"75","14","1"
"75","15","1"
"76","4","4"
"76","5","1"
"76","6","4"
"76","7","2"
"76","8","2"
"76","11","1"
"76","14","1"
"77","4","1"
"77","5","1"
"77","6","3"
"77","10","1"
"77","13","3"
"77","15","1"
"78","3","77"
"78","4","2"
"78","6","1"
"78","7","2"
"78","8","1"
"78","10","2"
"78","11","1"
"78","14","1"
"79","4","2"
"79","5","3"
"79","6","1"
"79","7","3"
"79","9","1"
"79","10","1"
"79","11","1"
"79","14","1"
"79","15","2"
"80","5","1"
"80","6","1"
"80","8","1"
"80","9","2"
"80","10","1"
"80","11","1"
"80","14","1"
"81","4","1"
"81","5","4"
"81","6","2"
"81","7","2"
"81","8","1"
"81","12","1"
"81","15","1"
"82","6","1"
"82","7","2"
"82","8","1"
"82","9","1"
"82","11","1"
"82","12","2"
"82","15","1"
"83","4","11"
"83","7","1"
"83","8","1"
"83","11","1"
"83","15","3"
"84","4","3"
"84","8","2"
"84","9","2"
"84","10","1"
"84","13","1"
"84","14","1"
"85","3","65"
"85","4","3"
"85","5","4"
"85","7","3"
"85","13","1"
"85","14","1"
"85","15","1"
"86","6","2"
"86","7","3"
"86","10","1"
"86","13","1"
"86","15","1"
"87","7","1"
"87","8","1"
"87","14","2"
"87","15","1"
"88","4","5"
"88","5","2"
"88","7","7"
"88","8","1"
"88","9","2"
"88","11","4"
"88","12","1"
"88","13","1"
"88","14","2"
"89","6","1"
"89","8","1"
"89","9","2"
"89","11","1"
"90","4","3"
"90","5","1"
"90","6","4"
"90","7","1"
"90","9","1"
"90","10","1"
"90","11","1"
"90","12","1"
"90","14","3"
"91","4","2"
"91","5","4"
"91","6","2"
"91","9","1"
"91","12","2"
"91","13","2"
"91","14","1"
"91","15","1"
"92","4","1"
"92","5","1"
"92","7","5"
"92","9","2"
"92","12","1"
"92","14","1"
"92","15","1"
"93","4","4"
"93","7","2"
"93","8","1"
"93","10","2"
"93","13","2"
"93","15","1"
"94","5","5"
"94","6","1"
"94","7","1"
"94","9","1"
"94","10","1"
"94","13","1"
"94","14","2"
"94","15","1"
"95","4","3"
"95","5","3"
"95","6","2"
"95","10","1"
"95","11","1"
"95","13","3"
"95","14","2"
"95","15","1"
"96","6","6"
"96","7","4"
"96","9","2"
"96","12","2"
"97","4","1"
"97","5","1"
"97","6","1"
"97","7","1"
"97","8","1"
"97","9","1"
"97","10","2"
"97","11","1"
"97","12","1"
"97","13","2"
"97","14","1"
"97","15","1"
"98","5","2"
"98","6","2"
"98","7","1"
"98","9","1"
"98","11","4"
"98","15","2"
"99","6","4"
"99","7","1"
"99","8","1"
"99","9","1"
"99","12","1"
"99","13","1"
"100","4","2"
"100","6","4"
"100","10","1"
"100","11","1"
"100","13","1"
